listing_id,url,title,price,area_sqm,rooms,bathrooms,livings,age_years,district,city,direction,description,latitude,longitude,images,images_count,advertiser_name,advertiser_company,advertiser_type,created_at,published_at,last_update,views,date_scraped,published,price_text,price_was_missing,price_per_sqm,anomaly_score,is_anomaly
6799131,https://sa.aqar.fm/شقق-للبيع/الرياض/شمال-الرياض/حي-الصحافة/شارع-طريق-الملك-فهد-الفرعي-حي-الصحافة-مدينة-الرياض-منطقة-الرياض-6799131,"شقة للبيع في شارع طريق الملك فهد الفرعي, حي الصحافة, مدينة الرياض, منطقة الرياض",170000000.0,81.0,1.0,,,10.0,حي الصحافة,الرياض,شمال الرياض,"للبيع | شقة مميزة في برج رافال - الرياض
فرصة سكنية واستثمارية نادرة في أحد أفخم أبراج مدينة الرياض، شقة راقية في برج رافال تقع في الدور الثاني والأربعين (42)، رقم 05، بمساحة 81 متر مربع، بإطلالة عالية ومفتوحة تمنحك تجربة سكن استثنائية.

تتمتع الشقة بواجهة شمالية غربية تطل مباشرة على طريق الملك فهد، مع مشهد بانورامي ساحر لمدينة الرياض يزداد جمالًا وقت الغروب والمساء.

مواصفات الشقة:

المساحة: 81 م²

صالة واسعة بإضاءة طبيعية

مطبخ عملي بتشطيب عصري

حمام أنيق

بدون أثاث

مزودة بالأجهزة

تشطيبات حديثة وألوان هادئة

أرضيات عصرية مع إضاءة سبوت لايت تعزز الإحساس بالفخامة

الشقة مثالية للسكن الراقي أو للاستثمار بعائد ممتاز، وتناسب رجال الأعمال والباحثين عن موقع مميز وإطلالة مرتفعة في قلب العاصمة.

📍 الموقع: برج رافال
📐 المساحة: 81 م²
🏢 الدور: 42
🧭 الواجهة: شمالية غربية
🌆 الإطلالة: طريق الملك فهد",24.792757,46.632545,https://images.aqar.fm/webp/750x0/props/002443900_1767628301216.jpg | https://images.aqar.fm/webp/750x0/props/002443906_1767628301191.jpg | https://images.aqar.fm/webp/750x0/props/002443909_1767628301215.jpg | https://images.aqar.fm/webp/750x0/props/002443903_1767628301196.jpg | https://images.aqar.fm/webp/750x0/props/002443901_1767628301204.jpg | https://images.aqar.fm/webp/750x0/props/002443903_1767628301217.jpg | https://images.aqar.fm/webp/750x0/props/002443906_1767628301202.jpg | https://images.aqar.fm/webp/750x0/props/002443905_1767628301206.jpg,8.0,محمد بن عبدالله بن سعد الغامدي,,,2026-07-31,2026-07-31,2026-07-31,7.0,2026-07-31,,,,2098765.4320987654,-0.17754811062114662,True
6809463,https://sa.aqar.fm/شقق-للبيع/الرياض/شرق-الرياض/حي-اشبيلية/شارع-الدفاع-حي-إشبيلية-مدينة-الرياض-منطقة-الرياض-6809463,"شقة للبيع في شارع الدفاع, حي إشبيلية, مدينة الرياض, منطقة الرياض",3800000.0,500.0,6.0,2.0,0.0,10.0,حي اشبيلية,الرياض,شرق الرياض,"* منزل للبيع 
حي اشبيليا - مساحة 500 - الشارع 20 - الواجهة غربية
قريب من المسجد وقريب من المدارس والخدمات
وقريب من الحديقه. 

الدور الارضي : 
قسم الرجال 
- مقلط 
- مجلس 
- ملحق خارجي 
- حمام خارجي 
- حوش كبير 

قسم النساء : 
- صالة 
- مطبخ 
 _ 3 غرف نوم 
- 2 حمام 
- 2 مستودع خارجي

( يوجد غرفة سائق مع دوره مياه )
(ويوجد غرفة خادمة مع دوره مياه )

الدور الاول : 
- 8 غرف نوم
- صالة 
- 3 دورات مياه

الدور الثاني :
- سطح حر كبير جداً 
البيت عليه بنك من صندوق التنمية العقاري بمبلغ (178الف﷼)",24.786382,46.785767,https://images.aqar.fm/webp/750x0/props/016353114_1786035819023.jpg | https://images.aqar.fm/webp/750x0/props/016353112_1786035819013.jpg | https://images.aqar.fm/webp/750x0/props/016353113_1786035819110.jpg | https://images.aqar.fm/webp/750x0/props/016353117_1786035855140.jpg | https://images.aqar.fm/webp/750x0/props/016353113_1786035855250.jpg | https://images.aqar.fm/webp/750x0/props/016353115_1786035855226.jpg | https://images.aqar.fm/webp/750x0/props/016353111_1786035855220.jpg | https://images.aqar.fm/webp/750x0/props/016353113_1786035855256.jpg | https://images.aqar.fm/webp/750x0/props/016353116_1786035855137.jpg | https://images.aqar.fm/webp/750x0/props/016353114_1786035855261.jpg | https://images.aqar.fm/webp/750x0/props/016353111_1786035871437.jpg | https://images.aqar.fm/webp/750x0/props/016353114_1786035871450.jpg | https://images.aqar.fm/webp/750x0/props/016353115_1786035871445.jpg | https://images.aqar.fm/webp/750x0/props/016353115_1786035871450.jpg,14.0,عبدالله النفيعي,مكتب تنجيز للعقارات,1.0,2026-08-06,2026-08-06,2026-08-06,7.0,2026-08-07,True,"3,800,000",False,7600.0,-0.1632223421645025,True
6731923,https://sa.aqar.fm/شقق-للبيع/الرياض/شرق-الرياض/حي-الرمال/حي-الرمال-الرياض-منطقة-الرياض-6731923,شقة للبيع في حي الرمال ، الرياض ، منطقة الرياض,8000000.0,128.0,2.0,2.0,1.0,3.0,حي الرمال,الرياض,شرق الرياض,شقه ارضيه بحي الرمال. تتكون من غرفتين نوم ومجلس وصاله ومطبخ  ودورتين مياه. والشقه. ارضيه في عماره. تجاريه على شارع 30 وعليها. بنك ب مبلغ 436,24.882967,46.811691,,,مساعد حمود سعد العتيبي,,,2026-06-14,,2026-07-21,43.0,2026-07-22,,,,62500.0,-0.1504834523703038,True
6516714,https://sa.aqar.fm/شقق-للبيع/الرياض/شرق-الرياض/حي-المونسية/شارع-القلم-حي-المونسية-مدينة-الرياض-منطقة-الرياض-6516714,"شقة للبيع في شارع القلم, حي المونسية, مدينة الرياض, منطقة الرياض",12000000.0,149.0,3.0,,,1.0,حي المونسية,الرياض,شرق الرياض,"للبيع شقة فاخرة في المونسية – شارع القلم

موقع مميز قريب جدًا من قرطبة – مشروع مدان 7

مواصفات الشقة:

• عمر العمارة: سنتان فقط
• مدة السكن: أقل من سنة
• الشقة مؤثثة بالكامل بأفخم الأثاث
• أجهزة المطبخ كاملة + مكيفات
• 3 غرف نوم
• صالة واسعة
• مجلس مستقل
• مطبخ مجهز مع غرفة خادمة أو مستودع
• عدد 2 بلكونة

الشقة جاهزة للسكن الفوري ومناسبة للباحثين عن موقع راقٍ وتشطيب فاخر.",24.816587,46.757072,https://images.aqar.fm/webp/750x0/props/043767728_1766411880033.jpg | https://images.aqar.fm/webp/750x0/props/043767729_1766411880037.jpg | https://images.aqar.fm/webp/750x0/props/043767720_1766411880026.jpg | https://images.aqar.fm/webp/750x0/props/043767728_1766411879998.jpg | https://images.aqar.fm/webp/750x0/props/043767727_1766411880017.jpg,5.0,سلطان البراك ,مكتب مستقبل النمو للعقارات,1.0,2025-12-22,2025-12-22,2026-07-22,602.0,2026-07-22,,,,80536.91275167785,-0.14580332703655896,True
6753486,https://sa.aqar.fm/شقق-للبيع/الرياض/شمال-الرياض/حي-الصحافة/شارع-الامير-سلمان-بن-محمد-بن-سعود-حي-الصحافة-مدينة-الرياض-منطقة-الرياض-6753486,"شقة للبيع في شارع الامير سلمان بن محمد بن سعود, حي الصحافة, مدينة الرياض, منطقة الرياض",9375000.0,127.0,3.0,3.0,0.0,0.0,حي الصحافة,الرياض,شمال الرياض,"📣 للبيع شقة أرضية بحي الصحافة 📍
​المكونات: مجلس + صالة + 2 غرف نوم + 3 دورات مياه + حوش خاص 🏡
​الموقع: حي الصحافة (موقع مميز وقريب من الخدمات).
​ملاحظة: الشقة مسكونة، والزيارة بموعد مسبق فقط ⚠️.
للبيع ميلون ٢٠٠الف",24.802896,46.64239,,,عبدالعزيز محمد,شركة مقام العقارية شركة شخص واحد,1.0,2026-06-30,2026-06-30,2026-07-22,130.0,2026-07-26,,,,73818.89763779528,-0.1437476574412897,True
6731549,https://sa.aqar.fm/شقق-للبيع/الرياض/شرق-الرياض/حي-الرمال/شارع-البلقاء-حي-الرمال-مدينة-الرياض-منطقة-الرياض-6731549,"شقة للبيع في شارع البلقاء, حي الرمال, مدينة الرياض, منطقة الرياض",6674000.0,93.0,4.0,3.0,1.0,0.0,حي الرمال,الرياض,شرق الرياض,"🏡شقه للبيع🏡
 بحي الرمال 📍
والذب يعتبرون الأحياء الهادئه مما يوفر بيئه سكنيه مريحه
مساحه ١٢٣ متر
واجهه جنوبيه
شارع ٣٠ متر
العمر جديده
السعر ٦٦٧٤.٠٠٠ الف 
🛑تتكون من :
_مجلس
-صاله 
-مطبخ
-غرفه نوم ماستر 
-غرفه نوم بدورة مياه 
📍موقع حيوي مميز
مريب من طريق الشيخ جابر
قريب من الطرق الرئيسيه 
🔆 تشطيبات فاخرة  
🔆 تصميم عصري - واجهه حجر
🔆 اشراف هندسي على الهيكل الانشائي
🔆 ضمانات من الشركة المنفذه 
🔆 ضمانات على السباكة - انابيب خضراء ضمان 15 سنة
🔆 ضمانات على الكهرباء - الاسلاك والقواطع والطبالين من شركة الفنار
🔆 الادوات الصحية ألمانية - شركة جروهي
🔆 ضمانات على عزل الاسطح ودورات المياه
🔆 الجبس جبس بورد
🔆 ابواب wpc ضمان 10 سنوات
🔆 الدهانات - جوتن
🔆 المغاسل - رخام طبيعي
🔆 خزان ارضي وعلوي مستقل
🛑للتواصل ((الرقم يظهر عند الضغط على اتصال))",24.83227,46.795736,https://images.aqar.fm/webp/750x0/props/002855495_1781378047749.jpg | https://images.aqar.fm/webp/750x0/props/002855493_1781378047609.jpg | https://images.aqar.fm/webp/750x0/props/002855492_1781378047631.jpg | https://images.aqar.fm/webp/750x0/props/002855496_1781378047626.jpg | https://images.aqar.fm/webp/750x0/props/002855492_1781378047750.jpg | https://images.aqar.fm/webp/750x0/props/002855498_1781378048226.jpg | https://images.aqar.fm/webp/750x0/props/002855498_1781378048226.jpg | https://images.aqar.fm/webp/750x0/props/002855496_1781378047865.jpg | https://images.aqar.fm/webp/750x0/props/002855490_1781378048361.jpg | https://images.aqar.fm/webp/750x0/props/002855495_1781378047749.jpg | https://images.aqar.fm/webp/750x0/props/002855493_1781378047609.jpg | https://images.aqar.fm/webp/750x0/props/002855492_1781378047631.jpg | https://images.aqar.fm/webp/750x0/props/002855496_1781378047626.jpg | https://images.aqar.fm/webp/750x0/props/002855492_1781378047750.jpg | https://images.aqar.fm/webp/750x0/props/002855498_1781378048226.jpg | https://images.aqar.fm/webp/750x0/props/002855498_1781378048226.jpg | https://images.aqar.fm/webp/750x0/props/002855496_1781378047865.jpg | https://images.aqar.fm/webp/750x0/props/002855490_1781378048361.jpg,18.0,عائشه بنت سليمان بن عبدالله الطريم,مؤسسة سكن المعالي للعقارات,1.0,2026-06-13,2026-07-13,2026-07-22,43.0,2026-07-22,,,,71763.44086021505,-0.14191841912340464,True
6616727,https://sa.aqar.fm/شقق-للبيع/الرياض/شمال-الرياض/حي-الصحافة/شارع-وادي-جصة-حي-الصحافة-مدينة-الرياض-منطقة-الرياض-6616727,"شقة للبيع في شارع وادي جصة, حي الصحافة, مدينة الرياض, منطقة الرياض",2500000.0,15.0,2.0,2.0,1.0,0.0,حي الصحافة,الرياض,شمال الرياض,"للبيع: شقة فاخرة في دور عالي بإطلالة بانورامية - برج سفانة 2


فرصة استثنائية للتملك في أرقى أبراج حي الصحافة بشمال الرياض، حيث الفخامة والخصوصية فوق السحاب.

بيانات المساحة (حسب المخطط المعتمد):
إجمالي المساحة: تتراوح بين 180.90 إلى 186.90 متر مربع.

مساحة البناء: 86.40 متر مربع.

مساحة المرافق الخاصة (التراس والجاكوزي): 82.50 متر مربع.

مساحة موقف السيارة: من 12 إلى 18 متر مربع.

تفاصيل الشقة:
الإطلالة: تقع الشقة في دور عالي وتتميز بإطلالة بانورامية ساحرة وشرحة.

غرف النوم: غرفتين نوم (منها غرفة ماستر رئيسية بحمام خاص).

منطقة المعيشة: صالة واسعة تشمل منطقة لطاولة الطعام.

المطبخ: مطبخ راكب ومجهز بالكامل بجميع الأجهزة الأساسية (ثلاجة ومايكرويف).

الرفاهية: تراس (Terrace) واسع يضم جاكوزي خاص للاسترخاء التام.

التشطيب: تشطيبات حجرية فاخرة في جميع أنحاء الشقة.

المواقف: موقف خاص لكل شقة يقع أمام المدخل مباشرة.

مزايا إضافية: موزع (Corridor)، حمام إضافي، خزّان ماء خاص، وغرفة مستقلة لوحدات التكييف الخارجية.

مرافق برج سفانة 2 المشتركة:
نوادي رياضية: جمنيزيوم (Gym) منفصل للرجال وآخر للنساء.

لاونج (Lounge): صالات استقبال وجلسات راقية للسكان.

مصلّى: مسجد خاص داخل البرج.

الأمن: نظام دخول ذكي وحراسة على مدار الساعة.

الموقع الاستراتيجي:
يقع في قلب حي الصحافة، خلف فندق ""جي دبليو ماريوت"" مباشرة.

على بعد دقائق من مركز الملك عبد الله المالي (KAFD) وطريق الملك فهد.",24.792982,46.633615,https://images.aqar.fm/webp/750x0/props/000831320_1772833371058.jpg | https://images.aqar.fm/webp/750x0/props/000831326_1772833385627.jpg | https://images.aqar.fm/webp/750x0/props/000831327_1772833366561.jpg | https://images.aqar.fm/webp/750x0/props/000831329_1772833359605.jpg | https://images.aqar.fm/webp/750x0/props/000831328_1772833377179.jpg | https://images.aqar.fm/webp/750x0/props/000831321_1772833397346.jpg | https://images.aqar.fm/webp/750x0/props/000831325_1772833428215.jpg | https://images.aqar.fm/webp/750x0/props/000831326_1772833409248.jpg | https://images.aqar.fm/webp/750x0/props/000831324_1772833436049.jpg | https://images.aqar.fm/webp/750x0/props/000831327_1772833455580.jpg | https://images.aqar.fm/webp/750x0/props/000831321_1772833464108.jpg | https://images.aqar.fm/webp/750x0/props/000831325_1772833471341.jpg | https://images.aqar.fm/webp/750x0/props/000831322_1772833480242.jpg | https://images.aqar.fm/webp/750x0/props/000831324_1772833499133.jpg,14.0,بندر عبدالعزيز محمد اباعود,شركة إكسبات كي,1.0,2026-03-06,2026-07-01,2026-07-25,366.0,2026-07-26,,,,166666.66666666666,-0.13549582698879148,True
6562711,https://sa.aqar.fm/شقق-للبيع/الرياض/غرب-الرياض/حي-المهدية/شارع-أبي-المؤيد-الأصبهاني-حي-المهدية-مدينة-الرياض-منطقة-الرياض-6562711,"شقة للبيع في شارع أبي المؤيد الأصبهاني, حي المهدية, مدينة الرياض, منطقة الرياض",7500000.0,152.5,3.0,4.0,1.0,0.0,حي المهدية,الرياض,غرب الرياض,"عمارة كامله للبيع 
مساحة ٩٠٠م
١٠ شقق
المساحات ١٦٦م ،، ١٣٩م",24.653732,46.505378,https://images.aqar.fm/webp/750x0/props/040916289_1769423652418.jpg | https://images.aqar.fm/webp/750x0/props/040916283_1769423652379.jpg | https://images.aqar.fm/webp/750x0/props/040916289_1769423652387.jpg | https://images.aqar.fm/webp/750x0/props/040916280_1769423652415.jpg | https://images.aqar.fm/webp/750x0/props/040916282_1769423652390.jpg | https://images.aqar.fm/webp/750x0/props/040916282_1769423652404.jpg | https://images.aqar.fm/webp/750x0/props/040916288_1769423652393.jpg,7.0,نايف بن عبدالله بن سلطان بن سفران,مؤسسة موافقة العقارية,1.0,2026-01-26,2026-01-26,2026-07-22,204.0,2026-07-23,,,,49180.32786885246,-0.13525945089040758,True
6789509,https://sa.aqar.fm/شقق-للبيع/الرياض/شمال-الرياض/حي-العليا/شارع-الملك-فهد-الفرعي-حي-العليا-مدينة-الرياض-منطقة-الرياض-6789509,"شقة للبيع في شارع الملك فهد الفرعي, حي العليا, مدينة الرياض, منطقة الرياض",5000000.0,217.0,5.0,0.0,0.0,11.0,حي العليا,الرياض,شمال الرياض,"شقة موثثه للبيع في برج داماك 
بقيمة ٥ مليون اثاث فندي 
التاجير الشهري و السنوي",24.709358,46.672753,,,فيصل عبدالله,,,2026-07-25,2026-07-25,2026-07-25,8.0,2026-07-26,,,,23041.474654377882,-0.13318824960159104,True
6483124,https://sa.aqar.fm/شقق-للبيع/الرياض/شمال-الرياض/حي-العليا/شارع-الملك-فهد-الفرعي-حي-العليا-مدينة-الرياض-منطقة-الرياض-6483124,"شقة للبيع في شارع الملك فهد الفرعي, حي العليا, مدينة الرياض, منطقة الرياض",2399999.0,22.5,2.0,3.0,1.0,7.0,حي العليا,الرياض,شمال الرياض,"Apartment for sale in Damac Tower B Paramount
On the 20th-25th floor
Apartment size: 118 sq m
Fully furnished with Paramount brand furniture ✅

Two bedrooms and a living room 🛏️
One bedroom is a master bedroom
Three bathrooms
Both bedrooms and the living room have a view
of King Fahd Road 🏙️

100% fully equipped kitchen ✅
Oven, dishwasher, and refrigerator
With dishes, glasses, cutlery, etc.

Fully furnished with beds 🛌
1 double bed
2 single beds

Smart access
Men's swimming pool
Private women's swimming pool
Gym



شقة للبيع في برج داماك B براماونت
في الدور في الادوار المرتفعة 20-25 
مساحة الشقة ١١٨ متر مربع
مفروشة كامل براند براماونت ✅

غرفتين وصالة 🛏️ 
واحدة منها ماستر 
٣ دورات مياه 
والغرفتين والصالة كلها مطلة
على طريق الملك فهد 🏙️

مطبخ متكامل ١٠٠٪؜ ✅
فرن وغسالة مواعين وثلاجة
مع الاطباق والكاسات والملاعق …الخ

مفروشه فرش كامل شامل الأسرّة 🛌
١ سرير مزدوج 
٢ سرير فردي 

دخول ذكي
مسبح رجالي 
مسبح خاص نسائي
صالة نادي رياضي",24.709848,46.672582,https://images.aqar.fm/webp/750x0/props/018527619_1764235153613.jpg | https://images.aqar.fm/webp/750x0/props/018527617_1764235153613.jpg | https://images.aqar.fm/webp/750x0/props/018527619_1764235153610.jpg | https://images.aqar.fm/webp/750x0/props/018527610_1764235153588.jpg | https://images.aqar.fm/webp/750x0/props/018527611_1764235153608.jpg | https://images.aqar.fm/webp/750x0/props/018527613_1764235153600.jpg | https://images.aqar.fm/webp/750x0/props/018527617_1764235153623.jpg | https://images.aqar.fm/webp/750x0/props/018527613_1764235153615.jpg,8.0,عادل سعد,,,2025-11-27,2025-11-27,2026-07-21,341.0,2026-07-22,,,,106666.62222222223,-0.13198991729693166,True
